sample_id,side,branch_id,d16,d25,d34,ID1,ID2,ID3,ID4,ID5,ID6,command
1,A,A_D34_+010,0,10,10,10,0,0,10,-10,10,G 10 0 0 10 -10 10
2,A,A_D34_+010,0,20,10,20,0,0,20,-10,10,G 20 0 0 20 -10 10
3,A,A_D34_+010,0,30,10,30,0,0,30,-10,10,G 30 0 0 30 -10 10
4,A,A_D34_+010,0,40,10,40,0,0,40,-10,10,G 40 0 0 40 -10 10
5,A,A_D34_+010,0,50,10,50,0,0,50,-10,10,G 50 0 0 50 -10 10
6,A,A_D34_+010,0,60,10,60,0,0,60,-10,10,G 60 0 0 60 -10 10
7,A,A_D34_+010,0,70,10,70,0,0,70,-10,10,G 70 0 0 70 -10 10
8,A,A_D34_+010,0,80,10,80,0,0,80,-10,10,G 80 0 0 80 -10 10
9,A,A_D34_+010,0,90,10,90,0,0,90,-10,10,G 90 0 0 90 -10 10
10,A,A_D34_+010,0,100,10,100,0,0,100,-10,10,G 100 0 0 100 -10 10
11,A,A_D34_+010,0,110,10,110,0,0,110,-10,10,G 110 0 0 110 -10 10
12,A,A_D34_+010,0,120,10,120,0,0,120,-10,10,G 120 0 0 120 -10 10
13,A,A_D34_+010,0,130,10,130,0,0,130,-10,10,G 130 0 0 130 -10 10
14,A,A_D34_+010,0,140,10,140,0,0,140,-10,10,G 140 0 0 140 -10 10
15,A,A_D34_+010,0,150,10,150,0,0,150,-10,10,G 150 0 0 150 -10 10
16,A,A_D34_+010,0,160,10,160,0,0,160,-10,10,G 160 0 0 160 -10 10
17,A,A_D34_+010,0,170,10,170,0,0,170,-10,10,G 170 0 0 170 -10 10
18,A,A_D34_+010,0,180,10,180,0,0,180,-10,10,G 180 0 0 180 -10 10
19,A,A_D34_+020,0,10,20,10,0,0,10,-20,20,G 10 0 0 10 -20 20
20,A,A_D34_+020,0,20,20,20,0,0,20,-20,20,G 20 0 0 20 -20 20
21,A,A_D34_+020,0,30,20,30,0,0,30,-20,20,G 30 0 0 30 -20 20
22,A,A_D34_+020,0,40,20,40,0,0,40,-20,20,G 40 0 0 40 -20 20
23,A,A_D34_+020,0,50,20,50,0,0,50,-20,20,G 50 0 0 50 -20 20
24,A,A_D34_+020,0,60,20,60,0,0,60,-20,20,G 60 0 0 60 -20 20
25,A,A_D34_+020,0,70,20,70,0,0,70,-20,20,G 70 0 0 70 -20 20
26,A,A_D34_+020,0,80,20,80,0,0,80,-20,20,G 80 0 0 80 -20 20
27,A,A_D34_+020,0,90,20,90,0,0,90,-20,20,G 90 0 0 90 -20 20
28,A,A_D34_+020,0,100,20,100,0,0,100,-20,20,G 100 0 0 100 -20 20
29,A,A_D34_+020,0,110,20,110,0,0,110,-20,20,G 110 0 0 110 -20 20
30,A,A_D34_+020,0,120,20,120,0,0,120,-20,20,G 120 0 0 120 -20 20
31,A,A_D34_+020,0,130,20,130,0,0,130,-20,20,G 130 0 0 130 -20 20
32,A,A_D34_+020,0,140,20,140,0,0,140,-20,20,G 140 0 0 140 -20 20
33,A,A_D34_+020,0,150,20,150,0,0,150,-20,20,G 150 0 0 150 -20 20
34,A,A_D34_+020,0,160,20,160,0,0,160,-20,20,G 160 0 0 160 -20 20
35,A,A_D34_+020,0,170,20,170,0,0,170,-20,20,G 170 0 0 170 -20 20
36,A,A_D34_+020,0,180,20,180,0,0,180,-20,20,G 180 0 0 180 -20 20
37,A,A_D34_+030,0,10,30,10,0,0,10,-30,30,G 10 0 0 10 -30 30
38,A,A_D34_+030,0,20,30,20,0,0,20,-30,30,G 20 0 0 20 -30 30
39,A,A_D34_+030,0,30,30,30,0,0,30,-30,30,G 30 0 0 30 -30 30
40,A,A_D34_+030,0,40,30,40,0,0,40,-30,30,G 40 0 0 40 -30 30
41,A,A_D34_+030,0,50,30,50,0,0,50,-30,30,G 50 0 0 50 -30 30
42,A,A_D34_+030,0,60,30,60,0,0,60,-30,30,G 60 0 0 60 -30 30
43,A,A_D34_+030,0,70,30,70,0,0,70,-30,30,G 70 0 0 70 -30 30
44,A,A_D34_+030,0,80,30,80,0,0,80,-30,30,G 80 0 0 80 -30 30
45,A,A_D34_+030,0,90,30,90,0,0,90,-30,30,G 90 0 0 90 -30 30
46,A,A_D34_+030,0,100,30,100,0,0,100,-30,30,G 100 0 0 100 -30 30
47,A,A_D34_+030,0,110,30,110,0,0,110,-30,30,G 110 0 0 110 -30 30
48,A,A_D34_+030,0,120,30,120,0,0,120,-30,30,G 120 0 0 120 -30 30
49,A,A_D34_+030,0,130,30,130,0,0,130,-30,30,G 130 0 0 130 -30 30
