sample_id,timestamp_iso,elapsed_s,pixel_u,pixel_v,x_mm,y_mm,z_mm,distance_mm,green_area_px,valid_3d_points,marker_pixels_used,valid_3d_ratio,temporal_frames_used,roi_x,roi_y,roi_w,roi_h
1,2026-07-11T21:54:04.275,27.865648,723,416,51.546,-43.491,-353.174,359.556,258.5,157,158,1.0,6,613,306,220,220
2,2026-07-11T21:54:21.005,44.595451,724,418,51.377,-44.791,-352.856,359.379,284.0,155,165,0.9697,7,614,308,220,220
3,2026-07-11T21:54:34.378,57.96866,723,422,51.057,-48.149,-353.454,360.354,268.5,162,168,0.96429,6,613,312,220,220
4,2026-07-11T21:54:50.740,74.330995,723,427,50.289,-50.743,-352.498,359.665,303.0,167,180,0.95556,6,613,317,220,220
5,2026-07-11T21:55:07.008,90.598277,721,433,49.476,-54.767,-352.79,360.427,266.0,158,161,0.98758,7,611,323,220,220
6,2026-07-11T21:55:24.082,107.673035,719,440,48.182,-59.285,-352.348,360.534,264.0,153,159,0.96226,4,609,330,220,220
7,2026-07-11T21:55:51.811,135.402078,716,447,46.143,-63.803,-351.63,360.338,271.5,155,163,0.95092,6,606,337,220,220
8,2026-07-11T21:56:03.713,147.303795,712,455,43.645,-69.143,-351.961,361.334,287.5,148,167,0.89222,6,602,345,220,220
9,2026-07-11T21:56:19.119,162.709456,708,463,40.836,-74.282,-351.392,361.472,271.0,145,163,0.88957,5,598,353,220,220
10,2026-07-11T21:56:30.321,173.91175,704,470,38.01,-79.249,-351.216,362.047,279.5,162,164,0.9878,6,594,360,220,220
11,2026-07-11T21:56:42.215,185.805947,700,477,35.516,-83.97,-351.006,362.653,281.5,145,162,0.89506,4,590,367,220,220
12,2026-07-11T21:56:52.682,196.272131,695,485,32.179,-88.396,-350.16,362.576,268.0,148,159,0.93082,7,585,375,220,220
13,2026-07-11T21:57:05.550,209.140232,690,493,28.95,-93.57,-349.734,363.191,285.0,149,166,0.89759,7,580,383,220,220
